,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
378,Hendek,95,TR,1585981365,100,40.8,30.75,42.8,3.49
379,Lüderitz,0,NA,1585981367,87,-26.65,15.16,55.4,2.24
380,Nuuk,0,GL,1585981369,60,64.18,-51.72,10.4,26.4
381,Kayerkan,90,RU,1585981371,92,69.35,87.76,19.4,20.13
382,Vao,66,NC,1585981373,79,-22.67,167.48,77.95,20.8
383,Jijiga,46,ET,1585981376,31,9.35,42.8,72.07,8.97
384,Tyup,1,KG,1585981379,23,42.73,78.36,50.97,1.92
385,Nador,61,MA,1585981340,82,35.17,-2.93,59,8.05
386,Babugarh,0,IN,1585981383,12,28.72,77.85,90.55,13.94
387,Lokoja,100,NG,1585981386,78,7.8,6.74,80.73,7
388,Susurluk,75,TR,1585981389,93,39.91,28.16,48.99,1.12
389,Barybino,3,RU,1585981393,60,55.27,37.89,43,11.18
390,Maceió,45,BR,1585981396,100,-9.67,-35.74,75.2,3.36
391,Pomabamba,34,PE,1585981398,31,-8.83,-77.47,46.4,2.91
392,Belen,20,TR,1585981402,71,36.49,36.22,55.99,5.82
393,San Cristobal,87,VE,1585981404,64,7.77,-72.22,68.74,0.51
394,Worthing,90,GB,1585981408,100,50.81,-0.37,46,2.24
395,Abaza,100,RU,1585981410,74,52.66,90.09,39.13,5.28
396,Awjilah,61,LY,1585981412,25,29.11,21.29,74.52,11.52
397,Mahon,0,ES,1585981415,93,39.89,4.27,46.4,5.82
398,Ngunguru,58,NZ,1585981417,80,-35.62,174.5,64.99,1.99
399,Popondetta,78,PG,1585981419,64,-8.75,148.25,85.57,4.88
400,Hamilton,1,US,1585981272,93,39.18,-84.53,54,2.39
401,General Roca,0,AR,1585981424,55,-39.03,-67.58,66.2,9.17
402,Iquique,18,CL,1585981426,68,-20.22,-70.14,68,2.24
403,Meghri,95,AM,1585981429,48,38.9,46.24,53.64,1.12
404,Shimorskoye,86,RU,1585981431,67,55.32,42.03,44.4,9.69
405,Hong Kong,40,HK,1585981249,78,22.29,114.16,78.01,6.93
406,Waipawa,34,NZ,1585981435,67,-41.41,175.52,63,3.36
407,Santa Isabel Rio Negro,94,BR,1585981437,96,-0.41,-65.02,74.43,1.54
408,Inhambane,40,MZ,1585981440,88,-23.86,35.38,69.8,10.45
409,Verkhnyaya Inta,100,RU,1585981443,93,65.98,60.31,35.29,14.52
410,Farnes,40,NO,1585981446,63,61.32,7.8,26.6,31.09
411,Ndélé,94,CF,1585981449,63,8.41,20.65,76.35,9.17
412,Marawi,10,PH,1585981451,47,8,124.29,83.25,6.76
413,Poum,97,NC,1585981455,81,-20.23,164.02,81.28,15.66
414,Mandalgovi,0,MN,1585981457,16,45.76,106.27,56.66,13.06
415,Bétaré Oya,100,CM,1585981461,72,5.6,14.08,70.39,2.91
416,Pemberton,79,CA,1585981464,83,50.32,-122.8,27.77,1.99
417,Garden City,1,US,1585981451,80,42.33,-83.33,42.01,1.68
418,Kwang Binh,66,VN,1585981471,71,17.48,106.6,83.66,8.84
419,Gunjur,47,GM,1585981477,64,13.2,-16.73,69.8,12.12
420,Puerto Ayacucho,96,VE,1585981480,86,5.66,-67.62,77.18,3.06
421,Macamic,5,CA,1585981483,92,48.75,-79,30.2,2.28
422,Barra Patuca,1,HN,1585981485,80,15.8,-84.28,77.92,12.08
423,San Quintín,20,MX,1585981487,83,30.48,-115.95,57.83,8.88
424,Tautira,40,PF,1585981490,70,-17.73,-149.15,84.2,10.29
425,Samandağ,20,TR,1585981494,71,36.08,35.98,53.6,5.82
426,Muscat,4,OM,1585981277,62,23.61,58.59,84.2,5.82
427,Tiarei,40,PF,1585981498,70,-17.53,-149.33,84.2,10.29
428,Gawler,75,AU,1585981500,55,-34.6,138.73,66,26.4
429,Balingasay,5,PH,1585981503,65,16.36,119.86,84.88,8.97
430,Emilio Carranza,48,MX,1585981505,85,19.97,-96.61,77.65,10.63
431,Palmer,90,US,1585981507,93,42.16,-72.33,46.99,8.05
432,Zhanakorgan,42,KZ,1585981509,30,43.91,67.25,72.14,8.72
433,Sarany,15,RU,1585981512,84,58.5,58.88,35.1,6.87
434,Todos Santos,43,MX,1585981515,84,23.45,-110.22,70,1.99
435,Jaisalmer,0,IN,1585981518,15,26.91,70.92,93.09,5.39
436,Agadez,2,NE,1585981522,12,19.75,10.25,76.87,6.51
437,Itarema,100,BR,1585981525,89,-2.92,-39.92,77.34,4.25
438,Pokosnoye,100,RU,1585981527,57,55.53,101.05,40.68,13.87
439,Miles City,1,US,1585981529,68,46.41,-105.84,27,18.34
440,Ulkan,100,RU,1585981532,75,57.24,107.32,38.75,11.52
441,Aldan,34,RU,1585981534,80,58.6,125.39,26.47,14.16
442,Lata,20,PT,1585981536,81,40.16,-8.33,55,6.93
443,Svobodnyy,0,RU,1585981538,72,51.4,128.13,33.66,16.53
444,Yining,54,CN,1585981540,46,29.04,114.56,70.72,2.42
445,Yurimaguas,76,PE,1585981542,92,-5.9,-76.08,73.4,1.19
446,Huaraz,12,PE,1585981545,28,-9.53,-77.53,49.84,6.89
447,Avera,1,US,1585981548,100,33.19,-82.53,57.99,2.51
448,Wamba,100,NG,1585981551,73,8.93,8.6,79.21,3.6
449,Kahului,1,US,1585981424,73,20.89,-156.47,75.2,5.82
450,Ananas,58,HT,1585981555,80,19.25,-71.96,69.17,1.77
451,Bonthe,55,SL,1585981557,88,7.53,-12.51,79.84,4.32
452,Palana,0,RU,1585981561,90,59.12,159.97,12.49,6.26
453,Thai Binh,99,VN,1585981379,89,20.45,106.33,70.88,12.41
454,Hamīrpur,0,IN,1585981567,11,25.95,80.15,91.42,8.14
455,Clyde,75,US,1585981570,86,41.3,-82.98,44.01,1.81
456,Coyhaique,30,CL,1585981574,70,-45.58,-72.07,44.6,6.93
457,George Town,20,MY,1585981576,52,5.41,100.34,93.2,5.82
458,Gairo,5,IT,1585981578,37,39.85,9.5,50,12.75
459,Shache,0,CN,1585981580,16,38.42,77.24,65.82,3.47
460,Neuquén,0,AR,1585981583,55,-38.95,-68.06,66.2,9.17
461,Santander Jiménez,84,MX,1585981584,84,24.22,-98.47,76.3,9.26
462,Dillon,1,US,1585981587,93,34.42,-79.37,55.4,8.5
463,Amudat,21,UG,1585981591,37,1.95,34.95,76.55,6.6
464,Wanxian,100,CN,1585981594,74,30.8,108.39,56.32,3.47
465,Nhlangano,99,SZ,1585981596,57,-27.12,31.2,63.57,2.17
466,Kieta,85,PG,1585981598,71,-6.22,155.63,83.43,1.25
467,Madison,75,US,1585981503,55,34.73,-86.57,62.6,4.7
468,Flinders,0,AU,1585981602,35,-34.58,150.86,75.99,24.16
469,Calama,0,CL,1585981604,54,-22.47,-68.93,53.6,14.99
470,Christchurch,89,NZ,1585981440,82,-43.53,172.63,59,23.04
471,Batemans Bay,0,AU,1585981608,37,-35.72,150.18,72,8.01
472,Polson,90,US,1585981610,92,47.69,-114.16,30.99,4.7
473,Saint-François,11,FR,1585981613,92,46.42,3.91,28.4,1.12
474,Dalby,75,AU,1585981615,65,-27.18,151.27,78.8,18.34
475,Santana do Ipanema,58,BR,1585981617,83,-9.38,-37.25,74.08,2.39
476,Nānākuli,20,US,1585981619,94,21.39,-158.15,80.6,5.17
477,Faya,1,SA,1585981621,35,18.39,42.45,75.2,6.93
478,Aberdeen,100,GB,1585981624,93,57.14,-2.1,37.99,2.24
479,Saint-Pierre,40,RE,1585981626,78,-21.34,55.48,86,14.99
480,Jega,37,NG,1585981629,38,12.22,4.38,82.89,7.02
481,Khandyga,100,RU,1585981631,93,62.67,135.6,20.16,6.2
482,Valdivia,40,CL,1585981633,81,-39.81,-73.25,53.6,5.82
483,Ulladulla,0,AU,1585981635,35,-35.35,150.47,72,24.16
484,Faanui,34,PF,1585981637,74,-16.48,-151.75,83.44,9.42
485,Vila Velha,75,BR,1585981639,83,-20.33,-40.29,77,12.75
486,Laguna,1,US,1585981641,76,38.42,-121.42,54,5.82
487,Port Hawkesbury,90,CA,1585981643,92,45.62,-61.35,33.01,11.41
488,Palencia,0,ES,1585981493,84,42.42,-4.5,36,2.77
489,Fonte Boa,100,BR,1585981648,96,-2.5,-66.27,73.45,0.94
490,Tucuruí,99,BR,1585981650,95,-3.77,-49.67,74.23,2.01
491,Geraldton,100,AU,1585981652,36,-28.77,114.6,82.99,13.87
492,Norman Wells,75,CA,1585981654,65,65.28,-126.83,8.6,1.7
493,Eyrarbakki,100,IS,1585981656,38,63.86,-21.15,24.8,16.11
494,Asilah,100,MA,1585981658,67,35.47,-6.03,60.8,24.16
495,Tarasovskiy,0,RU,1585981661,49,48.73,40.36,49.82,8.01
496,Albury,40,AU,1585981381,51,-36.08,146.92,62.6,20.8
497,Westport,90,US,1585981666,76,41.14,-73.36,50,14.99
498,Coahuayana Viejo,5,MX,1585981668,57,18.73,-103.68,72.27,3.78
499,Estelle,1,US,1585981389,100,29.85,-90.11,66.99,4.25
500,Oodweyne,31,SO,1585981672,33,9.41,45.06,75.85,11.01
501,Nome,90,US,1585981674,97,64.5,-165.41,32,13.87
502,Jerome,1,US,1585981676,50,42.72,-114.52,33.8,8.05
503,Horki,75,BY,1585981678,74,54.29,30.98,33.8,8.95
504,Portland,90,US,1585981087,70,45.52,-122.68,44.6,2.13
505,Sangmélima,100,CM,1585981682,80,2.93,11.98,67.98,2.59
506,Anloga,20,GH,1585981684,94,5.79,0.9,80.6,8.05
507,Broken Hill,75,AU,1585981686,35,-31.95,141.43,69.8,19.46
508,Giohar,64,SO,1585981688,58,2.78,45.5,86.07,10.85
509,Tuxpan,17,MX,1585981690,33,19.55,-103.4,65.23,2.35
510,Solnechnyy,100,RU,1585981692,79,50.72,136.63,32.68,11.39
511,Lagos,40,NG,1585981426,100,6.58,3.75,68,2.24
512,Shakiso,97,ET,1585981696,47,5.75,38.92,68.45,7.09
513,Oktyabr'skiy,71,RU,1585981698,72,54.48,53.47,37.99,4.21
514,Lamu,39,KE,1585981700,72,-2.27,40.9,84.25,8.88
515,Natitingou,31,BJ,1585981702,56,10.3,1.38,80.04,7.63
516,Richards Bay,100,ZA,1585981704,79,-28.78,32.04,71.19,13
517,Semey,47,KZ,1585981707,31,50.41,80.23,60.8,11.18
518,Quatre Cocos,40,MU,1585981709,78,-20.21,57.76,81,8.05
519,Belvidere,90,US,1585981711,93,42.26,-88.84,48.99,10.29
520,Labytnangi,100,RU,1585981713,93,66.66,66.42,33.42,15.59
521,Narkevychi,0,UA,1585981715,60,49.52,26.64,40.82,6.35
522,Dimbokro,72,CI,1585981720,89,6.65,-4.7,76.75,3.02
523,Plettenberg Bay,3,ZA,1585981722,52,-34.05,23.37,74.08,6.67
524,Bellevue,75,US,1585981724,80,47.61,-122.2,41,3.36
525,Yumen,98,CN,1585981726,19,40.28,97.2,54.9,9.08
526,Vestmanna,100,FO,1585981728,86,62.16,-7.17,32,19.46
527,Labuhan,57,ID,1585981730,64,-6.88,112.21,88.72,4.45
528,Nacimiento,2,CL,1585981734,79,-37.5,-72.67,58.96,8.72
529,Rockland,75,US,1585981736,75,41.17,-74.05,51.01,8.05
530,Nanuque,63,BR,1585981739,75,-17.84,-40.35,76.82,6.85
531,Klaksvík,100,FO,1585981742,84,62.23,-6.59,32,19.46
532,Xining,100,CN,1585981744,23,36.62,101.77,43.45,2.13
533,Cockburn Town,18,TC,1585981746,67,21.46,-71.14,74.7,8.99
534,Naze,75,JP,1585981748,82,28.37,129.48,62.6,10.29
535,Malbork,0,PL,1585981750,78,54.04,19.03,42.01,9.17
536,Sola,90,VU,1585981753,94,-13.88,167.55,80.6,28.86
537,Noumea,90,NC,1585981755,65,-22.28,166.46,82.4,4.7
538,Iguape,9,BR,1585981756,75,-24.71,-47.56,66.92,4.07
539,Mitú,95,CO,1585981761,92,1.2,-70.17,72.77,0.6
540,Gornoye Loo,90,RU,1585981764,81,43.71,39.6,51.8,6.71
541,Colomi,75,BO,1585981767,72,-17.35,-65.87,60.8,2.39
542,Pucallpa,90,PE,1585981769,91,-8.38,-74.55,74.23,1.88
543,Hofn,100,IS,1585981772,88,64.25,-15.21,20.75,21.97
544,Vera Cruz,25,BR,1585981775,74,-12.63,-41.03,68.65,2.06
545,San Luis de la Paz,53,MX,1585981778,48,21.3,-100.52,71.01,3
546,Port Macquarie,99,AU,1585981780,37,-31.43,152.92,84.99,8.05
547,Ishigaki,75,JP,1585981782,100,24.34,124.16,68,12.75
548,Alice Springs,0,AU,1585981754,29,-23.7,133.88,75.2,13.87
549,Darhan,0,MN,1585981786,24,49.49,105.92,58.73,5.59
550,Nsanje,72,MW,1585981789,83,-16.92,35.26,73.38,2.42
551,Mahébourg,40,MU,1585981792,78,-20.41,57.7,82,8.05
552,Kampong Thom,14,KH,1585981795,29,12.71,104.89,103.14,2.95
553,Verkhnevilyuysk,100,RU,1585981798,98,63.45,120.32,30.54,11.12
554,Gbarnga,92,LR,1585981804,89,7,-9.47,74.17,1.66
555,Yabrūd,57,SY,1585981807,71,33.97,36.66,55,8.05
556,Aykhal,90,RU,1585981810,85,66,111.5,21.2,22.37
557,Rangpur City,0,BD,1585981722,9,25.75,89.25,96.6,10.2
558,Noshiro,20,JP,1585981816,36,40.2,140.02,62.6,17.22
559,Los Llanos de Aridane,20,ES,1585981818,56,28.66,-17.92,69.8,12.75
560,Kaputa,85,ZM,1585981820,62,-8.47,29.66,68.9,4.65
561,North Platte,1,US,1585981611,79,41.12,-100.77,23,6.93
562,Sangar,100,RU,1585981824,93,63.92,127.47,20.44,18.41
563,Ergani,40,TR,1585981826,61,38.27,39.76,50,5.82
564,Cabra,34,ES,1585981828,87,37.47,-4.44,51.01,4.7
565,Ninghai,83,CN,1585981830,45,29.29,121.42,68,8.95
566,Salalah,40,OM,1585981832,69,17.02,54.09,82.4,9.17
567,Fukuechō,51,JP,1585981834,55,32.69,128.84,60.8,10.29
568,Stephenville Crossing,40,CA,1585981837,74,48.5,-58.43,28.4,12.75
569,Svetlaya,100,RU,1585981839,91,46.54,138.33,33.71,24.58
570,Miyako,10,JP,1585981841,72,39.64,141.95,54.72,16.73
571,Kattivākkam,40,IN,1585981842,52,13.22,80.32,91.4,8.05
572,Thongwa,4,MM,1585981845,53,16.76,96.53,95,4.7
573,Ulaangom,7,MN,1585981847,80,49.98,92.07,23.92,3.71
574,Pavlikeni,100,BG,1585981850,93,43.24,25.32,46.99,2.24
575,Am Timan,66,TD,1585981854,38,11.03,20.28,83.46,7.67
576,Dhidhdhoo,76,MV,1585981606,67,6.88,73.1,84.56,6.69
577,Riberalta,100,BO,1585981862,90,-10.98,-66.1,74.3,0.49
578,Kroya,52,ID,1585981864,65,-7.63,109.25,88.57,4.74
579,Tocache,58,PE,1585981868,70,-8.18,-76.51,70.97,1.25
580,Bara,95,NG,1585981871,62,10.37,10.73,81.64,10.04
581,Ponnāni,40,IN,1585981874,53,10.77,75.93,95,6.93
582,Keuruu,0,FI,1585981695,79,62.27,24.7,28.99,10.29
583,Bayir,75,TR,1585981880,45,37.27,28.22,64.4,13.87
584,Kumul,97,CN,1585981882,15,42.8,93.45,64.98,5.91
585,Liberal,1,US,1585981884,63,37.04,-100.92,33.8,4.7
586,Byron Bay,75,AU,1585981886,78,-28.65,153.62,80.01,6.93
587,Egvekinot,100,RU,1585981889,87,66.32,-179.17,2.79,16.33
588,Kununurra,11,AU,1585981891,28,-15.77,128.73,104,6.93
589,Samaná,14,DO,1585981893,78,19.21,-69.34,74.17,1.1
590,Eureka,1,US,1585981652,80,40.8,-124.16,44.01,4.7
591,Riyadh,0,SA,1585981897,27,24.69,46.72,75.2,9.17
592,Port Moresby,40,PG,1585981899,70,-9.44,147.18,87.8,10.29
593,Taltal,54,CL,1585981901,79,-25.4,-70.48,62.24,2.48
594,Øksfjord,70,NO,1585981903,53,70.24,22.35,25,14.99
595,Kushiro,75,JP,1585981905,93,42.98,144.37,46.4,9.17
596,Forsytheganj,0,BY,1585981908,67,52.63,29.73,39.18,12.97
597,Linjiang,6,CN,1585981910,51,41.81,126.91,36.16,14.92
598,Pangnirtung,0,CA,1585981912,73,66.15,-65.71,2.44,4.5
599,Belyy Yar,89,RU,1585981914,39,53.6,91.39,46.4,11.18
